Park_Code,Park_Name,State,Acres,Latitude,Longitude,RecVisits,NonRecVisits
ACAD,Acadia National Park,ME,47390,44.35,-68.21,3537575,47100
ARCH,Arches National Park,UT,76519,38.68,-109.57,1663557,492238
BADL,Badlands National Park,SD,242756,43.75,-102.5,1008942,105109
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,440091,2364
BISC,Biscayne National Park,FL,172924,25.65,-80.08,469253,0
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,308962,0
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,2679478,419953
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,739449,0
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,1227627,55435
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,465912,0
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,366250,5863
CONG,Congaree National Park,SC,26546,33.78,-80.78,145929,0
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,720659,49600
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,2096053,0
DENA,Denali National Park and Preserve,AK,3372402,63.33,-150.5,594660,784032
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,1678660,66206
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,56810,4455
EVER,Everglades National Park,FL,1508538,25.32,-80.93,597124,6000
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,9591,0
GLAC,Glacier National Park,MT,1013572,48.8,-114,2965309,13532
GLBA,Glacier Bay National Park and Preserve,AK,3224840,58.5,-137,597915,644
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,153094,816
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,6380495,23748
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,442905,470
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,11421200,10544377
GRTE,Grand Teton National Park,WY,309995,43.73,-110.8,3491151,1617873
GUMO,Guadalupe Mountains National Park,TX,86416,31.92,-104.87,172347,0
HALE,Haleakala National Park,HI,29094,20.72,-156.17,1044084,29088
HAVO,Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,1116891,1847328
HOSP,Hot Springs National Park,AR,5550,34.51,-93.05,1506887,2306072
ISRO,Isle Royale National Park,MI,571790,48.1,-88.55,25798,158
JOTR,Joshua Tree National Park,CA,789745,33.79,-115.9,2942382,10516
KATM,Katmai National Park and Preserve,AK,3674530,58.5,-155,37818,0
KEFJ,Kenai Fjords National Park,AK,669983,59.92,-149.65,321596,0
KOVA,Kobuk Valley National Park,AK,1750717,67.55,-159.28,14937,7750
LACL,Lake Clark National Park and Preserve,AK,2619733,60.97,-153.42,14479,0
LAVO,Lassen Volcanic National Park,CA,106372,40.49,-121.51,499435,0
MACA,Mammoth Cave National Park,KY,52830,37.18,-86.1,533206,142923
MEVE,Mesa Verde National Park,CO,52122,37.18,-108.49,563420,10225
MORA,Mount Rainier National Park,WA,235625,46.85,-121.75,1518491,737168
NOCA,North Cascades National Park,WA,504781,48.7,-121.2,30085,0
OLYM,Olympic National Park,WA,922651,47.97,-123.5,3104455,728811
PEFO,Petrified Forest National Park,AZ,93533,35.07,-109.78,644922,120
PINN,Pinnacles National Park,CA,26606,36.48,-121.16,222152,0
REDW,Redwood National Park,CA,112512,41.3,-124,482536,0
ROMO,Rocky Mountain National Park,CO,265828,40.4,-105.58,4590493,8750
SAGU,Saguaro National Park,AZ,91440,32.25,-110.5,957405,2089346
SEKI,Sequoia and Kings Canyon National Parks,CA,865952,36.43,-118.68,1229594,17480
SHEN,Shenandoah National Park,VA,199045,38.53,-78.35,1264880,10962
THRO,Theodore Roosevelt National Park,ND,70447,46.97,-103.45,749389,6578
VOYA,Voyageurs National Park,MN,218200,48.5,-92.88,239656,0
WICA,Wind Cave National Park,SD,28295,43.57,-103.48,656397,261581
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148,61,-142,79450,0
YELL,Yellowstone National Park,"WY, MT, ID",2219791,44.6,-110.5,4115000,1229439
YOSE,Yosemite National Park,CA,761266,37.83,-119.5,4009436,151651
ZION,Zion National Park,UT,146598,37.3,-113.05,4320033,21900